x,y
-2.106010228661654793e+01,-4.372840643957644602e+00
-2.156010228661654793e+01,-4.372840643957644602e+00
-2.196848528777169918e+01,-4.151657642802494053e+00
-2.241777850658515092e+01,-4.029240643957646029e+00
-2.287686828892685043e+01,-3.930474641647345280e+00
-2.327545472655375391e+01,-3.685640643957647455e+00
-2.377545472655375391e+01,-3.685640643957647455e+00
-2.413880468067527474e+01,-3.355738249898919889e+00
-2.463313094652235691e+01,-3.342040643957645329e+00
-2.513313094652235691e+01,-3.342040643957645329e+00
-2.550137918240800516e+01,-3.023963748166193621e+00
-2.599080716649096345e+01,-2.998440643957646756e+00
-2.640976218356315641e+01,-2.802780747011039963e+00
-2.684848338645956645e+01,-2.654840643957644630e+00
-2.734848338645956645e+01,-2.654840643957644630e+00
-2.777233668529588329e+01,-2.471006245278312807e+00
-2.820615960642816944e+01,-2.311240643957646057e+00
-2.868071968645103453e+01,-2.249823244123162702e+00
-2.906383582639677243e+01,-1.967640643957647484e+00
-2.956383582639677243e+01,-1.967640643957647484e+00
-2.994265607819945885e+01,-1.675086852374737312e+00
-3.042151204636537543e+01,-1.624040643957645358e+00
-3.092151204636537543e+01,-1.624040643957645358e+00
-3.142151204636537543e+01,-1.624040643957645358e+00
-3.192151204636537543e+01,-1.624040643957645358e+00
-3.242151204636537898e+01,-1.624040643957645358e+00
-3.292151204636537898e+01,-1.624040643957645358e+00
-3.342151204636537898e+01,-1.624040643957645358e+00
-3.387810241277297507e+01,-1.728840770114068448e+00
-3.427918826633398197e+01,-1.967640643957647484e+00
-3.468584730394382376e+01,-2.192985661284919008e+00
-3.513686448630258496e+01,-2.311240643957646057e+00
-3.549454070627118796e+01,-2.654840643957644630e+00
-3.599454070627118796e+01,-2.654840643957644630e+00
-3.649454070627118796e+01,-2.654840643957644630e+00
-3.699454070627118796e+01,-2.654840643957644630e+00
-3.749454070627118796e+01,-2.654840643957644630e+00
-3.786518780798685668e+01,-2.342555122587341998e+00
-3.821874119858012619e+01,-1.989001731994066491e+00
-3.832933269915770325e+01,-1.534810231416491533e+00
-3.858370228661654977e+01,-1.140173564397195527e+00
-3.858370228661654977e+01,-6.401735643971955270e-01
-3.858370228661654977e+01,-1.401735643971955270e-01
-3.858370228661654977e+01,3.598264356028044730e-01
-3.858370228661654977e+01,8.598264356028044730e-01
-3.858370228661654977e+01,1.359826435602804473e+00
-3.830689326004805650e+01,1.745168382610839952e+00
-3.795333986945478699e+01,2.098721773204117902e+00
-3.759978647886151037e+01,2.452275163797392299e+00
-3.711920654715028434e+01,2.499159356042355284e+00
-3.661920654715028434e+01,2.499159356042355284e+00
-3.611920654715028434e+01,2.499159356042355284e+00
-3.561920654715028434e+01,2.499159356042355284e+00
-3.511920654715028434e+01,2.499159356042355284e+00
-3.461920654715028434e+01,2.499159356042355284e+00
-3.411920654715028434e+01,2.499159356042355284e+00
-3.361920654715028434e+01,2.499159356042355284e+00
-3.311920654715028434e+01,2.499159356042355284e+00
-3.261920654715028434e+01,2.499159356042355284e+00
-3.211920654715028434e+01,2.499159356042355284e+00
-3.161920654715028434e+01,2.499159356042355284e+00
-3.111920654715028434e+01,2.499159356042355284e+00
-3.061920654715028434e+01,2.499159356042355284e+00
-3.011920654715028434e+01,2.499159356042355284e+00
